model,accuracy,weighted_f1,macro_f1
Logistic Regression,0.8019993239001304,0.8001925288402257,0.7840119937550275
Random Forest,0.7527889119621384,0.7481830910212391,0.7409454152208605
Majority Class Baseline,0.25629014342975803,0.1045692158977263,0.051001383870223724
